都道府県名,年,国籍,年間訪問者数,第1四半期,第2四半期,第3四半期,第4四半期
宮城県,2014,フランス,3854,545,0,2229,1080
宮城県,2014,ドイツ,3882,650,1114,705,1413
宮城県,2014,ロシア,1316,177,228,216,695
宮城県,2014,カナダ,2521,193,811,401,1116
宮城県,2014,米国,15457,3706,5881,2240,3630
宮城県,2014,オーストラリア,2401,596,0,1243,562
宮城県,2015,韓国,16850,2923,3708,5517,4702
宮城県,2015,中国,44999,7228,11418,15068,11285
宮城県,2015,台湾,32959,6554,3868,6360,16177
宮城県,2015,香港,2902,0,2902,0,0
宮城県,2015,ベトナム,1792,0,979,813,0
宮城県,2015,タイ,9250,4357,2399,0,2494
宮城県,2015,シンガポール,3142,0,0,0,3142
宮城県,2015,マレーシア,1095,492,603,0,0
宮城県,2015,フィリピン,542,289,0,253,0
宮城県,2015,インドネシア,5630,2799,2225,606,0
宮城県,2015,インド,597,123,322,152,0
宮城県,2015,英国,1837,337,1500,0,0
宮城県,2015,フランス,2896,284,884,897,831
宮城県,2015,ドイツ,4110,849,681,1429,1151
宮城県,2015,スペイン,703,140,563,0,0
宮城県,2015,イタリア,910,286,118,363,143
宮城県,2015,ロシア,1197,298,320,115,464
宮城県,2015,カナダ,2723,525,1065,713,420
宮城県,2015,米国,12375,1172,3133,4028,4042
宮城県,2015,オーストラリア,2943,591,901,852,599
宮城県,2016,韓国,18995,4173,5557,4398,4867
宮城県,2016,中国,45408,9590,11328,17382,7108
宮城県,2016,台湾,74471,12129,14963,16161,31218
宮城県,2016,香港,5249,0,3311,0,1938
宮城県,2016,ベトナム,0,0,0,0,0
宮城県,2016,タイ,10252,3219,2512,666,3855
宮城県,2016,シンガポール,6985,0,963,0,6022
宮城県,2016,マレーシア,2978,721,1141,538,578
宮城県,2016,フィリピン,1602,414,0,616,572
宮城県,2016,インドネシア,2323,1775,0,0,548
宮城県,2016,インド,668,0,0,493,175
宮城県,2016,英国,2230,878,0,875,477
宮城県,2016,フランス,1782,355,0,977,450
宮城県,2016,ドイツ,3444,1078,396,1167,803
宮城県,2016,スペイン,160,160,0,0,0
宮城県,2016,イタリア,1393,313,292,788,0
宮城県,2016,ロシア,1037,0,208,439,390
宮城県,2016,カナダ,1331,0,0,847,484
宮城県,2016,米国,14315,2823,5211,4081,2200
宮城県,2016,オーストラリア,3314,700,533,1423,658
宮城県,2017,韓国,28035,5591,5064,7782,9598
宮城県,2017,中国,50881,5356,11574,18846,15105
宮城県,2017,台湾,81429,10557,15072,15182,40618
宮城県,2017,香港,10354,3620,2263,4471,0
宮城県,2017,ベトナム,5627,0,2859,2768,0
宮城県,2017,タイ,4506,0,0,0,4506
宮城県,2017,シンガポール,0,0,0,0,0
宮城県,2017,マレーシア,4126,0,0,2212,1914
宮城県,2017,フィリピン,2610,449,709,1452,0
宮城県,2017,インドネシア,2690,472,0,1534,684
宮城県,2017,インド,1130,160,227,374,369
宮城県,2017,英国,2932,448,1031,1453,0
宮城県,2017,フランス,746,746,0,0,0
宮城県,2017,ドイツ,3273,747,1688,422,416
宮城県,2017,スペイン,439,155,0,0,284
宮城県,2017,イタリア,805,221,376,208,0
宮城県,2017,ロシア,1016,363,325,153,175
宮城県,2017,カナダ,7032,445,2054,901,3632
宮城県,2017,米国,13526,2743,3743,5110,1930
宮城県,2017,オーストラリア,3306,731,619,503,1453
宮城県,2018,韓国,20621,5791,4943,5263,4624
宮城県,2018,中国,42497,10775,10203,12402,9117
宮城県,2018,台湾,100455,24553,20392,19719,35791
宮城県,2018,香港,9437,2328,1276,1233,4600
宮城県,2018,ベトナム,1297,0,838,0,459
宮城県,2018,タイ,12235,2431,2945,1974,4885
宮城県,2018,シンガポール,5321,630,1268,692,2731
宮城県,2018,マレーシア,3559,624,1430,0,1505
宮城県,2018,フィリピン,2024,688,952,220,164
宮城県,2018,インドネシア,3624,1071,1277,723,553
宮城県,2018,インド,1488,0,0,990,498
